model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 S Class,2017,27498,Semi-Auto,39872,Diesel,145,50.4,3.0
 E Class,2017,18298,Semi-Auto,53262,Diesel,30,65.7,2.0
 B Class,2014,9498,Semi-Auto,40217,Diesel,30,64.2,1.5
 GLE Class,2017,26998,Semi-Auto,20113,Diesel,200,47.9,2.1
 GLA Class,2015,14498,Manual,41042,Diesel,20,64.2,2.1
 C Class,2016,16998,Automatic,59208,Hybrid,0,76.4,2.1
 E Class,2015,19298,Semi-Auto,42040,Diesel,160,51.4,3.0
 C Class,2015,16990,Automatic,7976,Petrol,125,52.3,2.0
 E Class,2015,13527,Automatic,51933,Diesel,125,61.4,2.1
 V Class,2018,19998,Manual,24823,Diesel,145,46.3,2.1
 M Class,2013,15890,Automatic,66426,Diesel,300,39.2,3.0
 SLK,2015,13240,Semi-Auto,38487,Diesel,145,56.5,2.0
 M Class,2013,16770,Semi-Auto,41366,Diesel,300,39.2,3.0
 A Class,2016,11990,Manual,39853,Diesel,20,72.4,1.5
 GLA Class,2017,19890,Semi-Auto,27219,Diesel,145,56.5,2.1
 C Class,2015,12880,Semi-Auto,32786,Diesel,145,53.3,2.1
 C Class,2017,18660,Semi-Auto,23257,Diesel,145,61.4,2.1
 C Class,2014,14498,Semi-Auto,39442,Diesel,20,64.2,2.1
 CL Class,2015,16995,Semi-Auto,30995,Diesel,30,62.8,2.1
 C Class,2016,19798,Semi-Auto,29643,Diesel,125,60.1,2.1
 GLC Class,2017,22498,Semi-Auto,30028,Diesel,145,56.5,2.1
 GLC Class,2016,27998,Semi-Auto,43910,Diesel,145,56.5,2.1
 C Class,2016,16998,Semi-Auto,21967,Petrol,125,53.3,2.0
 V Class,2018,20498,Manual,18831,Diesel,145,46.3,2.1
 CLS Class,2016,21998,Semi-Auto,25313,Diesel,160,51.4,3.0
 M Class,2015,20498,Semi-Auto,43072,Diesel,205,39.2,2.1
 E Class,2016,19498,Semi-Auto,38238,Diesel,165,52.3,3.0
 CLS Class,2015,19298,Semi-Auto,40912,Diesel,125,57.7,2.1
 M Class,2015,21498,Semi-Auto,44984,Diesel,300,39.2,3.0
 CL Class,2014,20998,Semi-Auto,60488,Petrol,200,39.8,2.0
 GLE Class,2018,31298,Semi-Auto,6951,Diesel,145,47.9,2.1
 A Class,2013,9498,Manual,80158,Diesel,30,62.8,1.8
 B Class,2019,19998,Semi-Auto,14922,Petrol,145,45.6,1.3
 C Class,2016,17998,Semi-Auto,35721,Diesel,30,64.2,2.1
 GLA Class,2019,22599,Semi-Auto,5026,Diesel,145,67.3,2.1
 GLA Class,2017,19999,Semi-Auto,16339,Diesel,125,56.5,2.1
 C Class,2018,24799,Semi-Auto,20087,Petrol,145,47.1,2.0
 B Class,2017,13499,Manual,22926,Diesel,20,68.9,1.5
 A Class,2014,10495,Manual,53954,Diesel,20,70.6,1.5
 GLA Class,2018,18995,Manual,21000,Petrol,145,48.7,1.6
 GLE Class,2017,36995,Semi-Auto,15154,Diesel,300,39.2,3.0
 GLA Class,2017,17495,Automatic,45500,Diesel,125,56.5,2.1
 C Class,2017,18995,Automatic,11800,Diesel,145,61.4,2.1
 GLA Class,2016,17495,Semi-Auto,44499,Diesel,125,56.5,2.1
 CLS Class,2019,37499,Semi-Auto,5680,Diesel,145,48.7,2.9
 C Class,2018,27495,Semi-Auto,16347,Diesel,145,57.7,2.0
 B Class,2019,21499,Semi-Auto,14244,Petrol,145,45.6,1.3
 S Class,2018,57995,Semi-Auto,1861,Petrol,145,40.9,3.0
 S Class,2018,56000,Semi-Auto,2286,Petrol,145,40.9,3.0
 V Class,2017,35995,Semi-Auto,16830,Diesel,235,44.8,2.2
 B Class,2019,22490,Semi-Auto,1378,Petrol,145,45.6,1.3
 B Class,2019,23395,Semi-Auto,1928,Diesel,145,55.4,2.0
 C Class,2019,21795,Manual,6959,Petrol,145,46.3,1.6
 C Class,2017,33495,Semi-Auto,22574,Petrol,300,33.6,4.0
 GLE Class,2018,39999,Semi-Auto,24624,Petrol,145,32.8,3.0
 GLA Class,2018,21999,Semi-Auto,15381,Diesel,145,56.5,2.1
 GLA Class,2014,23495,Semi-Auto,27265,Petrol,235,37.7,2.0
 GLC Class,2017,24790,Semi-Auto,28894,Diesel,145,56.5,2.1
 CLS Class,2019,46495,Semi-Auto,5524,Diesel,145,47.9,2.9
 C Class,2019,34790,Semi-Auto,5298,Diesel,145,57.7,2.0
 GLC Class,2016,23790,Semi-Auto,32549,Diesel,125,56.5,2.1
 C Class,2017,18495,Semi-Auto,22994,Petrol,145,48.7,2.0
 B Class,2019,22499,Semi-Auto,1352,Petrol,145,45.6,1.3
 GLA Class,2015,17960,Semi-Auto,38339,Diesel,125,56.5,2.1
 CL Class,2014,17350,Automatic,29211,Diesel,30,62.8,2.1
 C Class,2016,23920,Automatic,18865,Diesel,30,65.7,2.1
 A Class,2018,20490,Semi-Auto,7024,Diesel,145,67.3,1.5
 A Class,2018,20490,Automatic,7148,Diesel,145,67.3,1.5
 A Class,2018,18990,Semi-Auto,17423,Diesel,145,67.3,1.5
 A Class,2019,19990,Semi-Auto,9980,Diesel,145,67.3,1.5
 C Class,2017,22960,Semi-Auto,21225,Diesel,20,67.3,2.1
 A Class,2016,15770,Semi-Auto,31711,Diesel,20,67.3,2.1
 C Class,2019,22270,Automatic,3233,Petrol,145,44.1,1.6
 C Class,2019,25795,Semi-Auto,12986,Diesel,145,58.9,2.0
 GLC Class,2016,25495,Semi-Auto,24290,Diesel,125,56.5,2.1
 E Class,2019,24999,Semi-Auto,13423,Diesel,145,72.4,2.0
 GLC Class,2016,28490,Semi-Auto,29889,Diesel,145,56.5,2.1
 GLE Class,2019,62495,Semi-Auto,11545,Petrol,145,23.9,5.5
 GLC Class,2018,28499,Semi-Auto,25861,Diesel,145,56.5,2.1
 C Class,2019,26890,Semi-Auto,1705,Petrol,145,42.2,1.6
 E Class,2019,35990,Semi-Auto,5526,Diesel,145,70.6,2.0
 C Class,2019,26885,Semi-Auto,2622,Petrol,145,42.2,1.6
 GLE Class,2017,27999,Semi-Auto,37069,Diesel,200,47.9,2.1
 C Class,2016,15699,Semi-Auto,30301,Diesel,20,65.7,2.1
 C Class,2017,18499,Semi-Auto,28480,Diesel,30,64.2,1.6
 A Class,2017,15499,Semi-Auto,18138,Petrol,125,53.3,1.6
 E Class,2019,25499,Semi-Auto,5600,Diesel,145,67.3,2.0
 E Class,2019,24995,Semi-Auto,8400,Diesel,145,72.4,2.0
 CL Class,2019,26499,Semi-Auto,11329,Diesel,145,51.4,2.2
 E Class,2017,21495,Semi-Auto,18658,Diesel,145,67.3,2.0
 C Class,2019,24499,Semi-Auto,3984,Petrol,145,44.1,1.5
 C Class,2019,30495,Semi-Auto,8771,Petrol,145,44.1,2.0
 C Class,2019,29999,Semi-Auto,1683,Diesel,145,55.4,2.0
 CL Class,2019,26499,Semi-Auto,10432,Diesel,145,51.4,2.2
 GLE Class,2017,31498,Semi-Auto,13718,Diesel,145,42.8,3.0
 A Class,2019,13498,Semi-Auto,30200,Diesel,145,67.3,1.5
 CL Class,2015,17998,Semi-Auto,28235,Diesel,30,62.8,2.1
 A Class,2014,12498,Semi-Auto,35677,Diesel,20,68.9,2.1
 C Class,2014,15998,Semi-Auto,34382,Diesel,30,64.2,2.1
 GLC Class,2016,23998,Semi-Auto,14946,Diesel,125,56.5,2.1
 GLE Class,2016,27998,Semi-Auto,21750,Diesel,205,47.9,2.1
 SL CLASS,2017,20498,Semi-Auto,18076,Diesel,30,70.6,2.1
 E Class,2017,19498,Semi-Auto,49866,Diesel,150,65.7,2.0
 GLA Class,2017,19698,Semi-Auto,6631,Petrol,150,48.7,1.6
 C Class,2016,14770,Semi-Auto,21745,Petrol,125,53.3,2.0
 A Class,2018,17218,Semi-Auto,16141,Diesel,145,70.6,2.1
 E Class,2016,16820,Semi-Auto,39096,Diesel,125,58.9,2.1
 A Class,2018,19097,Semi-Auto,7844,Petrol,145,53.3,1.3
 A Class,2018,19097,Semi-Auto,10494,Petrol,145,53.3,1.3
 GLC Class,2016,25100,Semi-Auto,27703,Diesel,125,56.5,2.1
 E Class,2016,16328,Semi-Auto,49066,Diesel,125,58.9,2.1
 C Class,2014,17330,Semi-Auto,32475,Diesel,30,64.2,2.1
 C Class,2017,17789,Semi-Auto,63019,Diesel,125,61.4,2.1
 C Class,2015,17044,Semi-Auto,48123,Diesel,30,64.2,2.1
 GLA Class,2020,23990,Semi-Auto,2500,Petrol,145,37.2,1.6
 B Class,2018,15500,Manual,6423,Diesel,145,68.9,1.5
 A Class,2020,21990,Manual,151,Petrol,145,47.1,1.3
 A Class,2020,25990,Semi-Auto,2000,Petrol,145,47.9,1.3
 GLC Class,2017,24250,Semi-Auto,24168,Diesel,125,56.5,2.1
 C Class,2017,17330,Semi-Auto,22684,Diesel,145,64.2,2.1
 A Class,2015,13500,Semi-Auto,35343,Diesel,20,68.9,2.1
 C Class,2017,18795,Automatic,46294,Diesel,20,67.3,2.1
 GLA Class,2015,15837,Semi-Auto,31091,Diesel,125,55.4,2.1
 C Class,2016,15220,Semi-Auto,39656,Diesel,20,65.7,2.1
 GLA Class,2016,17765,Automatic,36308,Diesel,125,56.5,2.1
 C Class,2016,14220,Semi-Auto,45868,Diesel,20,65.7,2.1
 C Class,2017,22260,Semi-Auto,27637,Diesel,30,64.2,2.1
 GLE Class,2017,36999,Semi-Auto,10946,Petrol,305,32.8,3.0
 CLS Class,2016,19495,Semi-Auto,31532,Diesel,125,57.7,2.1
 A Class,2019,27799,Semi-Auto,565,Petrol,145,28.5,2.0
 E Class,2016,18880,Semi-Auto,45143,Diesel,30,65.7,2.0
 C Class,2019,41880,Automatic,151,Petrol,145,29.7,3.0
 C Class,2019,30990,Automatic,151,Diesel,145,55.4,2.0
 E Class,2019,38880,Automatic,1347,Diesel,145,47.1,3.0
 C Class,2019,28880,Automatic,7324,Petrol,145,46.3,1.5
 C Class,2019,28990,Automatic,2501,Diesel,145,64.2,2.0
 C Class,2016,18700,Semi-Auto,33237,Diesel,125,58.9,2.1
 GLA Class,2018,19495,Semi-Auto,17911,Petrol,145,50.4,1.6
 B Class,2017,16299,Semi-Auto,19160,Diesel,145,68.9,2.1
 E Class,2017,23499,Semi-Auto,7898,Diesel,145,67.3,2.0
 A Class,2017,79999,Semi-Auto,13781,Petrol,145,30.1,4.0
 A Class,2019,18499,Semi-Auto,18588,Diesel,145,65.7,1.5
 C Class,2019,19895,Semi-Auto,10985,Petrol,145,46.3,1.5
 C Class,2019,27595,Semi-Auto,11480,Diesel,145,56.5,2.0
 C Class,2018,22880,Semi-Auto,23061,Diesel,145,67.3,2.1
 A Class,2018,19097,Semi-Auto,9753,Petrol,145,53.3,1.3
 A Class,2018,19097,Semi-Auto,7456,Petrol,145,53.3,1.3
 GLA Class,2017,17997,Automatic,21298,Diesel,145,56.5,2.1
 B Class,2019,16930,Manual,5317,Petrol,145,49.6,1.6
 CL Class,2017,20500,Automatic,14611,Diesel,145,67.3,2.1
 E Class,2017,19395,Semi-Auto,22767,Diesel,145,72.4,2.0
 GLA Class,2016,17863,Automatic,28483,Diesel,125,56.5,2.1
 C Class,2016,20105,Automatic,14965,Diesel,30,64.2,2.1
 GLA Class,2017,21100,Semi-Auto,21524,Diesel,145,56.5,2.1
 E Class,2016,18037,Semi-Auto,25593,Diesel,125,58.9,2.1
 GLA Class,2016,17997,Semi-Auto,29217,Diesel,125,56.5,2.1
 A Class,2018,18927,Semi-Auto,15013,Diesel,145,65.7,1.5
 A Class,2018,19127,Semi-Auto,15116,Diesel,145,65.7,1.5
 C Class,2019,28400,Semi-Auto,1287,Diesel,145,56.5,2.0
 A Class,2019,21835,Semi-Auto,9422,Diesel,145,67.3,1.5
 A Class,2019,20130,Semi-Auto,5263,Petrol,145,53.3,1.3
 A Class,2018,18436,Semi-Auto,7756,Diesel,145,68.9,1.5
 C Class,2016,22765,Automatic,25178,Diesel,30,65.7,2.1
 A Class,2019,18718,Semi-Auto,14825,Diesel,145,68.9,1.5
 C Class,2016,17770,Semi-Auto,27306,Diesel,20,64.2,2.1
 C Class,2017,18433,Semi-Auto,34278,Diesel,145,61.4,2.1
 A Class,2017,19231,Automatic,23174,Diesel,145,68.9,2.1
 A Class,2019,18499,Semi-Auto,16467,Diesel,145,65.7,1.5
 GLC Class,2020,34999,Semi-Auto,2271,Diesel,145,44.8,2.0
 C Class,2016,21440,Semi-Auto,26600,Diesel,20,67.3,2.1
 GLA Class,2015,16690,Semi-Auto,14726,Diesel,20,64.2,2.1
 GLA Class,2017,18447,Automatic,54961,Diesel,145,56.5,2.1
 GLA Class,2016,17462,Semi-Auto,24412,Diesel,30,64.2,2.1
 A Class,2016,12456,Manual,49436,Diesel,20,72.4,1.5
 A Class,2017,16979,Manual,11811,Diesel,20,68.9,1.5
 C Class,2017,22170,Semi-Auto,19155,Diesel,145,67.3,2.1
 A Class,2018,15694,Manual,43396,Diesel,145,68.9,1.5
 C Class,2016,15490,Semi-Auto,22178,Diesel,30,65.7,1.6
 GLA Class,2017,19890,Semi-Auto,22693,Diesel,125,56.5,2.1
 GLA Class,2016,17690,Semi-Auto,33242,Diesel,125,56.5,2.1
 GLA Class,2016,17690,Semi-Auto,41520,Diesel,125,56.5,2.1
 E Class,2017,21290,Semi-Auto,21165,Diesel,160,52.3,3.0
 GLB Class,2020,35400,Semi-Auto,2000,Diesel,145,46.3,2.0
 GLB Class,2020,35400,Semi-Auto,2000,Diesel,145,46.3,2.0
 A Class,2020,25490,Semi-Auto,2000,Petrol,145,45.6,2.0
 C Class,2017,20990,Semi-Auto,19733,Petrol,150,48.7,2.0
 A Class,2018,20855,Semi-Auto,8279,Petrol,145,53.3,1.3
 C Class,2017,21115,Semi-Auto,31538,Diesel,145,67.3,2.1
 A Class,2019,19990,Manual,13862,Petrol,145,28.5,1.3
 A Class,2019,19990,Manual,14210,Petrol,145,28.5,1.3
 C Class,2019,21497,Semi-Auto,3539,Diesel,145,64.2,1.6
 A Class,2019,21840,Semi-Auto,10904,Diesel,145,67.3,1.5
 A Class,2017,16898,Manual,24093,Diesel,150,62.8,2.1
 GLA Class,2014,16498,Semi-Auto,33961,Diesel,145,55.4,2.1
 S Class,2017,31998,Semi-Auto,20224,Diesel,160,52.3,3.0
 C Class,2018,27498,Semi-Auto,12170,Diesel,145,54.3,2.0
 C Class,2016,19498,Semi-Auto,24111,Hybrid,0,134.5,2.0
 CL Class,2020,29999,Semi-Auto,1100,Petrol,145,44.8,1.3
 C Class,2017,16499,Semi-Auto,30536,Petrol,150,50.4,2.0
 A Class,2016,14999,Semi-Auto,22433,Diesel,20,74.3,1.5
 CL Class,2016,18799,Semi-Auto,19930,Diesel,20,70.6,2.1
 GLA Class,2018,23499,Semi-Auto,9979,Diesel,150,56.5,2.1
 GLA Class,2017,19799,Semi-Auto,9186,Diesel,150,56.5,2.1
 GLE Class,2019,53999,Semi-Auto,9015,Petrol,150,30.1,3.0
 A Class,2019,19999,Manual,7709,Petrol,150,28.5,1.3
 A Class,2018,19297,Automatic,7236,Petrol,145,53.3,1.3
 A Class,2018,18885,Automatic,7047,Petrol,145,53.3,1.3
 A Class,2019,22990,Semi-Auto,11520,Petrol,145,53.3,1.3
 A Class,2019,18904,Semi-Auto,7848,Diesel,145,68.9,1.5
 C Class,2018,27698,Semi-Auto,10579,Diesel,145,54.3,2.0
 GLE Class,2016,7750,Semi-Auto,77456,Diesel,235,42.8,3.0
 A Class,2018,18250,Semi-Auto,22239,Petrol,145,52.3,1.6
 GLC Class,2018,28500,Semi-Auto,12670,Diesel,145,56.5,2.1
 A Class,2014,9500,Manual,66237,Diesel,20,72.4,1.5
 E Class,2016,18295,Semi-Auto,20582,Diesel,125,58.9,2.1
 A Class,2018,18995,Semi-Auto,13189,Petrol,145,52.3,1.6
 C Class,2017,23495,Semi-Auto,23033,Diesel,30,65.7,2.1
 GLC Class,2016,21995,Semi-Auto,28000,Diesel,125,56.5,2.1
 GLC Class,2017,26995,Semi-Auto,33153,Diesel,145,56.5,2.1
 GLA Class,2016,16695,Automatic,26000,Diesel,30,64.2,2.1
 GLS Class,2018,41995,Automatic,14718,Diesel,145,37.2,3.0
 E Class,2015,11995,Semi-Auto,75229,Diesel,125,60.1,2.1
 GLA Class,2017,15195,Manual,56960,Diesel,20,67.3,2.1
 CL Class,2013,10995,Manual,69965,Petrol,125,50.4,1.6
 C Class,2017,21565,Automatic,39447,Petrol,145,47.1,2.0
 C Class,2017,21697,Semi-Auto,28272,Petrol,145,47.1,2.0
 CL Class,2017,20370,Automatic,17050,Diesel,145,67.3,2.1
 GLS Class,2019,46770,Automatic,11231,Diesel,145,37.2,3.0
 S Class,2013,24530,Automatic,56061,Hybrid,190,44.8,3.5
 A Class,2017,16190,Manual,33912,Diesel,20,68.9,1.5
 C Class,2016,20990,Semi-Auto,20972,Diesel,30,64.2,2.1
 A Class,2017,15990,Manual,22231,Petrol,145,49.6,1.6
 CL Class,2015,15770,Semi-Auto,60111,Diesel,30,62.8,2.1
 E Class,2017,21690,Semi-Auto,22484,Diesel,145,65.7,2.0
 E Class,2014,14975,Semi-Auto,58145,Diesel,200,47.1,3.0
 A Class,2013,10950,Manual,56000,Diesel,20,70.6,1.5
 GLA Class,2014,13990,Automatic,56488,Diesel,145,55.4,2.1
 A Class,2016,15750,Semi-Auto,52964,Diesel,20,67.3,2.1
 E Class,2016,15790,Semi-Auto,43280,Diesel,125,56.5,2.1
 A Class,2016,15990,Semi-Auto,52518,Diesel,20,67.3,2.1
 C Class,2014,12750,Semi-Auto,74000,Diesel,30,62.8,2.1
 CL Class,2014,15990,Semi-Auto,45559,Diesel,30,62.8,2.1
 CL Class,2017,18295,Automatic,49434,Diesel,125,58.9,2.1
 GLC Class,2016,21295,Semi-Auto,64995,Diesel,125,56.5,2.1
 E Class,2014,12795,Semi-Auto,54358,Diesel,125,58.9,2.1
 CLS Class,2015,16995,Automatic,50231,Diesel,125,56.5,2.1
 CL Class,2017,18995,Semi-Auto,30877,Petrol,150,53.3,1.6
 SL CLASS,2017,18990,Manual,17261,Petrol,160,43.5,2.0
 CLS Class,2015,17450,Automatic,60972,Diesel,160,52.3,3.0
 A Class,2013,14990,Automatic,26038,Petrol,160,44.1,2.0
 E Class,2018,21990,Semi-Auto,32153,Diesel,145,61.4,2.0
 CLS Class,2013,14750,Automatic,56198,Diesel,200,46.3,3.0
 C Class,2014,13950,Semi-Auto,45527,Diesel,20,64.2,2.1
 A Class,2017,16450,Semi-Auto,37112,Diesel,20,68.9,2.1
 GLA Class,2017,14950,Manual,54952,Diesel,30,64.2,2.1
 GLC Class,2017,27950,Automatic,22244,Diesel,145,56.5,2.1
 B Class,2016,11450,Manual,23563,Diesel,20,68.9,1.5
 CL Class,2016,18250,Semi-Auto,35025,Diesel,125,58.9,2.1
 GLA Class,2017,17495,Semi-Auto,40316,Diesel,30,64.2,2.1
 A Class,2018,16195,Automatic,22000,Petrol,145,52.3,1.6
 GLE Class,2016,24495,Automatic,32790,Diesel,260,42.8,3.0
 GLC Class,2017,25995,Semi-Auto,47776,Diesel,200,47.9,3.0
 GLA Class,2014,15495,Semi-Auto,60895,Diesel,145,55.4,2.1
 A Class,2014,12450,Manual,55253,Diesel,30,62.8,2.1
 CL Class,2015,14990,Manual,35283,Petrol,145,48.7,1.6
 GLA Class,2015,17790,Semi-Auto,30000,Diesel,125,55.4,2.1
 CL Class,2015,13490,Automatic,63797,Diesel,20,68.9,2.1
 E Class,2016,17990,Semi-Auto,34356,Diesel,20,72.4,2.0
 V Class,2015,25990,Semi-Auto,56617,Diesel,235,44.8,2.2
 GLA Class,2016,15290,Manual,42365,Diesel,20,64.2,2.1
 A Class,2014,11990,Manual,61307,Diesel,20,70.6,1.5
 GLA Class,2017,15495,Manual,65261,Diesel,30,64.2,2.1
 C Class,2016,14495,Automatic,50995,Diesel,30,64.2,1.6
 CL Class,2016,15295,Manual,41774,Diesel,20,67.3,2.1
 CL Class,2016,20995,Semi-Auto,8008,Diesel,20,67.3,2.1
 C Class,2016,17699,Semi-Auto,15511,Petrol,125,52.3,2.0
 GLA Class,2017,17299,Semi-Auto,27775,Diesel,145,67.3,2.1
 A Class,2018,16499,Manual,30066,Diesel,150,68.9,1.5
 E Class,2016,16499,Semi-Auto,40930,Diesel,150,54.3,3.0
 C Class,2018,20495,Semi-Auto,24158,Diesel,145,60.1,2.1
 C Class,2019,24736,Semi-Auto,10605,Diesel,145,64.2,2.0
 E Class,2019,33995,Semi-Auto,5000,Diesel,145,45.6,2.0
 C Class,2017,18495,Semi-Auto,41857,Diesel,145,61.4,2.1
 GLC Class,2017,28699,Semi-Auto,30063,Diesel,145,56.5,2.1
 GLA Class,2015,17491,Semi-Auto,33204,Diesel,125,55.4,2.1
 C Class,2019,28995,Semi-Auto,4099,Petrol,145,46.3,1.5
 GLE Class,2019,47995,Semi-Auto,7018,Diesel,145,36.7,2.0
 A Class,2019,24795,Semi-Auto,4499,Petrol,145,28.5,1.3
 A Class,2016,13999,Manual,21396,Diesel,20,72.4,1.5
 B Class,2017,15999,Semi-Auto,13158,Diesel,150,68.9,2.1
 E Class,2016,19501,Semi-Auto,25783,Diesel,20,67.3,2.0
 CL Class,2018,21495,Semi-Auto,8016,Petrol,145,52.3,1.6
 B Class,2017,14995,Semi-Auto,26109,Diesel,20,68.9,2.1
 E Class,2019,26499,Semi-Auto,13304,Diesel,145,72.4,2.0
 S Class,2018,41999,Semi-Auto,8107,Diesel,145,52.3,3.0
 E Class,2019,25499,Semi-Auto,7488,Diesel,145,67.3,2.0
 GLC Class,2018,31950,Semi-Auto,34229,Diesel,145,56.5,2.1
 E Class,2016,18795,Semi-Auto,48207,Diesel,30,65.7,2.0
 E Class,2018,22499,Semi-Auto,26695,Diesel,145,65.7,2.0
 A Class,2017,15065,Semi-Auto,14219,Petrol,30,55.4,1.6
 C Class,2017,21190,Semi-Auto,14044,Diesel,150,61.4,2.1
 E Class,2017,22998,Semi-Auto,9926,Diesel,150,65.7,2.0
 A Class,2018,18998,Semi-Auto,14232,Diesel,145,65.7,1.5
 A Class,2014,12998,Manual,39558,Diesel,20,70.6,1.5
 E Class,2015,14998,Semi-Auto,45033,Diesel,125,56.5,2.1
 A Class,2014,12498,Semi-Auto,43904,Diesel,20,68.9,2.1
 A Class,2015,12998,Semi-Auto,42724,Diesel,20,68.9,2.1
 A Class,2014,11498,Manual,60321,Diesel,20,70.6,1.5
 C Class,2017,21595,Semi-Auto,12648,Diesel,145,67.3,2.1
 C Class,2017,21295,Semi-Auto,36135,Diesel,30,65.7,2.1
 C Class,2016,19995,Semi-Auto,19488,Diesel,30,64.2,2.1
 GLA Class,2018,21795,Semi-Auto,15387,Petrol,145,48.7,1.6
 CL Class,2018,21495,Semi-Auto,17107,Diesel,145,67.3,2.1
 E Class,2018,20795,Semi-Auto,42097,Diesel,145,65.7,2.0
 A Class,2014,13799,Semi-Auto,52311,Diesel,20,64.2,2.1
 E Class,2019,24999,Semi-Auto,13967,Diesel,145,72.4,2.0
 E Class,2019,26499,Semi-Auto,2638,Diesel,145,72.4,2.0
 A Class,2019,21499,Semi-Auto,9198,Diesel,150,56.5,2.0
 B Class,2014,9999,Semi-Auto,53516,Diesel,30,60.1,1.8
 E Class,2019,26999,Semi-Auto,6134,Diesel,150,72.4,2.0
 E Class,2017,19999,Semi-Auto,27381,Diesel,20,72.4,2.0
 M Class,2015,19995,Semi-Auto,47808,Diesel,300,39.2,3.0
 CL Class,2020,32499,Semi-Auto,2000,Diesel,145,55.4,2.0
 C Class,2015,13448,Semi-Auto,31878,Diesel,20,65.7,2.1
 X-CLASS,2018,33991,Automatic,11366,Diesel,265,31.4,3.0
 X-CLASS,2020,31991,Automatic,303,Diesel,265,35.8,2.3
 X-CLASS,2019,37891,Automatic,303,Diesel,265,31.4,3.0
 X-CLASS,2019,22995,Automatic,9772,Diesel,265,35.8,2.3
 E Class,2019,39950,Semi-Auto,9200,Diesel,145,72.4,2.0
 A Class,2016,14495,Semi-Auto,55769,Diesel,20,68.9,2.1
 GLA Class,2015,13995,Semi-Auto,62760,Diesel,20,62.8,2.1
 GLC Class,2016,22499,Semi-Auto,49822,Diesel,125,56.5,2.1
 GLC Class,2017,26999,Semi-Auto,35293,Diesel,145,56.5,2.1
 CL Class,2015,15995,Semi-Auto,37544,Petrol,125,51.4,1.6
 CL Class,2019,21995,Manual,13329,Petrol,150,44.1,1.6
 E Class,2017,25995,Automatic,22000,Diesel,145,70.6,2.0
 E Class,2016,19990,Semi-Auto,43000,Diesel,160,51.4,3.0
 C Class,2014,10190,Semi-Auto,62448,Diesel,150,56.5,2.1
 C Class,2016,18995,Semi-Auto,38305,Diesel,30,64.2,2.1
 GLA Class,2015,17485,Semi-Auto,36462,Diesel,125,55.4,2.1
 A Class,2017,17695,Automatic,7145,Diesel,145,74.3,1.5
 E Class,2016,19845,Automatic,32741,Diesel,30,65.7,2.0
 GLC Class,2016,23245,Semi-Auto,21210,Diesel,125,56.5,2.1
 GLA Class,2016,19495,Automatic,20957,Diesel,125,56.5,2.1
 A Class,2017,15995,Semi-Auto,10839,Petrol,145,55.4,1.6
 C Class,2016,15998,Semi-Auto,25202,Diesel,30,65.7,1.6
 C Class,2017,24698,Semi-Auto,28631,Diesel,150,67.3,2.1
 GLA Class,2017,30998,Semi-Auto,13409,Petrol,235,38.2,2.0
 C Class,2016,14398,Semi-Auto,29002,Diesel,20,65.7,2.1
 GLA Class,2015,15998,Semi-Auto,38858,Diesel,20,67.3,2.1
 C Class,2014,15998,Semi-Auto,66140,Diesel,125,60.1,2.1
 GLC Class,2017,23998,Semi-Auto,39647,Diesel,125,56.5,2.1
 V Class,2018,21996,Manual,32095,Diesel,145,46.3,2.1
 V Class,2018,19346,Manual,34483,Diesel,150,46.3,2.1
 V Class,2019,20391,Automatic,18812,Diesel,150,48.7,2.1
 GLA Class,2019,20995,Manual,6587,Petrol,145,40.9,1.6
 C Class,2018,19950,Semi-Auto,33082,Diesel,145,64.2,2.1
